2500000,,
Opcao 1,6817377,86458
Opcao 2,159014,417157
Opcao 3,4458447,148094
Opcao 4,1274383,82609
Opcao 5,8760204,443816
Opcao 6,247268,47819
Opcao 7,7748718,56463
Opcao 8,979261,404353
Opcao 9,5416391,421448
Opcao 10,1088698,10356
Opcao 11,6942494,57125
Opcao 12,7490773,134707
Opcao 13,9076298,210533
Opcao 14,1477554,463214
Opcao 15,7152823,300249
Opcao 16,9460320,108584
Opcao 17,3424141,155746
Opcao 18,7655771,141398
Opcao 19,4914536,310961
Opcao 20,6429302,425432
Opcao 21,2845718,8723
Opcao 22,2752685,197399
Opcao 23,9828705,112197
Opcao 24,7290130,378560
Opcao 25,5481844,299717
Opcao 26,5995851,43625
Opcao 27,5909843,240174
Opcao 28,4787880,301000
Opcao 29,7566595,407520
Opcao 30,9857052,57648
Opcao 31,1424936,295049
Opcao 32,5476667,251726
Opcao 33,9089393,32747
Opcao 34,5797549,136608
Opcao 35,8513357,294335
Opcao 36,7044783,91071
Opcao 37,3320011,404539
Opcao 38,1776630,212095
Opcao 39,6376726,221669
Opcao 40,7422682,119156
Opcao 41,5235551,175783
Opcao 42,7187539,461833
Opcao 43,4327776,288493
Opcao 44,2587859,76173
Opcao 45,6388471,86906
Opcao 46,3384827,79516
Opcao 47,3487291,51242
Opcao 48,2480692,428331
Opcao 49,6254700,103343
Opcao 50,467194,89087
Opcao 51,8418186,151601
Opcao 52,6945307,488325
Opcao 53,2600934,356737
Opcao 54,3479899,314825
Opcao 55,2485770,72428
Opcao 56,6109535,44112
Opcao 57,5910148,344966
Opcao 58,3700776,243547
Opcao 59,3233276,426899
Opcao 60,2118010,294868
