k,a,b,xk,f(xk),epsilon
0,2,3,2.5,-2.18249,-
1,2,2.5,2.25,-0.487736,0.111111
2,2,2.25,2.125,0.127103,0.0588235
3,2.125,2.25,2.1875,-0.162903,0.0285714
4,2.125,2.1875,2.15625,-0.0136818,0.0144928
5,2.125,2.15625,2.14062,0.0577486,0.00729927
6,2.14062,2.15625,2.14844,0.022295,0.00363636
7,2.14844,2.15625,2.15234,0.00437224,0.00181488
8,2.15234,2.15625,2.1543,-0.00463833,0.000906618
9,2.15234,2.1543,2.15332,-0.000128934,0.000453515
10,2.15234,2.15332,2.15283,0.00212268,0.000226809
11,2.15283,2.15332,2.15308,0.00099713,0.000113392
12,2.15307617188,2.1533203125,2.15319824219,0.000434162229109,5.66926e-05
13,2.15319824219,2.1533203125,2.15325927734,0.000152630146577,2.83455e-05
14,2.15325927734,2.1533203125,2.15328979492,1.18520733725e-05,1.41725e-05
15,2.15328979492,2.1533203125,2.15330505371,-5.8539971322e-05,7.08622e-06
16,2.15328979492,2.15330505371,2.15329742432,-2.3343698297e-05,3.54312e-06
17,2.15328979492,2.15329742432,2.15329360962,-5.7457497924e-06,1.77156e-06
18,2.15328979492,2.15329360962,2.15329170227,3.05317745664e-06,8.85783e-07
19,2.15329170227,2.15329360962,2.15329265594,-1.3462822519e-06,4.42891e-07
20,2.15329170227,2.15329265594,2.15329217911,8.53448582916e-07,2.21446e-07
21,2.15329217911,2.15329265594,2.15329241753,-2.46416590244e-07,1.10723e-07
22,2.15329217911,2.15329241753,2.15329229832,3.03516056732e-07,5.53614e-08
23,2.15329229832,2.15329241753,2.15329235792,2.85497492314e-08,2.76807e-08
24,2.15329235792,2.15329241753,2.15329238772,-1.08933416954e-07,1.38404e-08
25,2.15329235792,2.15329238772,2.15329237282,-4.01918320847e-08,6.92018e-09
26,2.15329235792,2.15329237282,2.15329236537,-5.82104142666e-09,3.46009e-09
27,2.15329235792,2.15329236537,2.15329236165,1.13643530142e-08,1.73004e-09
28,2.15329236165,2.15329236537,2.15329236351,2.77165668194e-09,8.65022e-10
29,2.15329236351,2.15329236537,2.15329236444,-1.52469326054e-09,4.32511e-10
30,2.15329236351,2.15329236444,2.15329236398,6.23481710704e-10,2.16255e-10
31,2.15329236398,2.15329236444,2.15329236421,-4.50604886737e-10,1.08128e-10
32,2.15329236398,2.15329236421,2.15329236409,8.64375238052e-11,5.40639e-11
