250000,,
Opcao 1,434359,26545
Opcao 2,310174,36171
Opcao 3,521302,5045
Opcao 4,320329,10095
Opcao 5,515005,45893
Opcao 6,138731,38977
Opcao 7,832299,30762
Opcao 8,982074,22201
Opcao 9,966810,36576
Opcao 10,326221,23165
Opcao 11,850489,18298
Opcao 12,963043,1509
Opcao 13,931684,21476
Opcao 14,388675,8308
Opcao 15,2501,37867
Opcao 16,447071,48420
Opcao 17,723249,46424
Opcao 18,458357,43867
Opcao 19,738026,24928
Opcao 20,898446,963
Opcao 21,253068,24638
Opcao 22,64491,41747
Opcao 23,958269,21483
Opcao 24,60203,7196
Opcao 25,212295,42500
Opcao 26,865718,25708
Opcao 27,483039,15520
Opcao 28,218588,15345
Opcao 29,137676,3413
Opcao 30,525676,2504
Opcao 31,810377,11604
Opcao 32,50105,42789
Opcao 33,740785,49018
Opcao 34,173114,22138
Opcao 35,672631,28147
Opcao 36,617553,47553
Opcao 37,129418,9501
Opcao 38,137947,7113
Opcao 39,142890,29333
Opcao 40,331446,38418
Opcao 41,800038,47274
Opcao 42,904654,43062
Opcao 43,295676,12230
Opcao 44,943246,22292
Opcao 45,530187,20769
Opcao 46,474437,35644
Opcao 47,675795,32087
Opcao 48,886792,49974
Opcao 49,549770,7615
Opcao 50,577525,1087
