k,a,b,xk,f(xk),epsilon
0,2,3,2.5,-2.18249,-
1,2,2.5,2.25,-0.487736,0.111111
2,2,2.25,2.125,0.127103,0.0588235
3,2.125,2.25,2.1875,-0.162903,0.0285714
4,2.125,2.1875,2.15625,-0.0136818,0.0144928
5,2.125,2.15625,2.14062,0.0577486,0.00729927
6,2.14062,2.15625,2.14844,0.022295,0.00363636
7,2.14844,2.15625,2.15234,0.00437224,0.00181488
8,2.15234,2.15625,2.1543,-0.00463833,0.000906618
9,2.15234,2.1543,2.15332,-0.000128934,0.000453515
10,2.15234,2.15332,2.15283,0.00212268,0.000226809
11,2.15283,2.15332,2.15308,0.00099713,0.000113392
12,2.15308,2.15332,2.1532,0.000434162,5.66926e-005
13,2.1532,2.15332,2.15326,0.00015263,2.83455e-005
14,2.15326,2.15332,2.15329,1.18521e-005,1.41725e-005
15,2.15329,2.15332,2.15331,-5.854e-005,7.08622e-006
16,2.15329,2.15331,2.1533,-2.33437e-005,3.54312e-006
17,2.15329,2.1533,2.15329,-5.74575e-006,1.77156e-006
18,2.15329,2.15329,2.15329,3.05318e-006,8.85783e-007
19,2.15329,2.15329,2.15329,-1.34628e-006,4.42891e-007
20,2.15329,2.15329,2.15329,8.53449e-007,2.21446e-007
21,2.15329,2.15329,2.15329,-2.46417e-007,1.10723e-007
22,2.15329,2.15329,2.15329,3.03516e-007,5.53614e-008
23,2.15329,2.15329,2.15329,2.85497e-008,2.76807e-008
24,2.15329,2.15329,2.15329,-1.08933e-007,1.38404e-008
25,2.15329,2.15329,2.15329,-4.01918e-008,6.92018e-009
26,2.15329,2.15329,2.15329,-5.82104e-009,3.46009e-009
27,2.15329,2.15329,2.15329,1.13644e-008,1.73004e-009
28,2.15329,2.15329,2.15329,2.77166e-009,8.65022e-010
29,2.15329,2.15329,2.15329,-1.52469e-009,4.32511e-010
30,2.15329,2.15329,2.15329,6.23482e-010,2.16255e-010
31,2.15329,2.15329,2.15329,-4.50605e-010,1.08128e-010
32,2.15329,2.15329,2.15329,8.64375e-011,5.40639e-011
